name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
PH1 b,0.79099,2.2279,1.5451,1.5,0.68274,0.72791
PH2 b,1.0038,4.4053,2.3121,1.8613,2.0932,2.544
XO-7 b,1.1863,2.3535,2.5667,4.5815,0.21321,2.228
XO-1 b,1.1229,2.4564,2.649,2.0635,0.19259,0.39291
K2-3 d,0.18184,0.87506,0.63937,0.46578,0.23569,0.40928
XO-6 b,1.3655,3.1456,2.766,4.7849,0.37963,1.6393
XO-5 b,1.0866,2.5372,2.6919,2.0019,0.15468,0.53537
XO-4 b,1.1735,2.7526,2.5684,4.5669,0.18422,1.8144
XO-3 b,1.1348,3.5737,2.6194,2.0838,0.95432,1.4899
K2-3 c,0.22789,0.51851,0.8044,0.54395,0.28588,0.025436
