name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
PH1 b,0.79099,2.2279,1.5451,1.5,0.68274,0.72791
PH2 b,1.0038,4.4053,2.3121,1.8613,2.0932,2.544
XO-7 b,1.1863,2.3535,2.5667,4.5815,0.21321,2.228
XO-1 b,1.1229,2.4564,2.649,2.0635,0.19259,0.39291
K2-3 d,0.18184,0.87506,0.63937,0.46578,0.23569,0.40928
XO-6 b,1.3655,3.1456,2.766,4.7849,0.37963,1.6393
XO-5 b,1.0866,2.5372,2.6919,2.0019,0.15468,0.53537
XO-4 b,1.1735,2.7526,2.5684,4.5669,0.18422,1.8144
XO-3 b,1.1348,3.5737,2.6194,2.0838,0.95432,1.4899
K2-3 c,0.22789,0.51851,0.8044,0.54395,0.28588,0.025436
K2-3 b,0.35984,0.81954,1.0984,0.76797,0.27882,0.051572
K2-32 e,0.083503,0.32222,0.28689,0.28689,0.035328,0.035328
K2-33 b,0.70243,3.0704,1.4397,1.3496,1.6307,1.7208
K2-34 b,1.1799,2.7477,2.5666,4.5742,0.18114,1.8265
WTS-1 b,1.2227,3.1053,2.5796,4.6228,0.52574,1.5175
K2-36 c,0.50515,0.89209,1.2569,1.0147,0.36483,0.12259
K2-32 d,0.53529,1.0128,1.3022,1.0659,0.28939,0.053027
WTS-2 b,1.1841,2.5514,2.5664,4.579,0.014999,2.0275
K2-38 b,0.2188,0.88649,0.77182,0.52852,0.11467,0.35797
K2-39 b,0.79775,1.4564,1.5565,1.5115,0.10004,0.055031
K2-60 b,0.88399,2.1316,1.7415,1.6579,0.3901,0.47373
K2-36 b,0.15534,0.63347,0.54436,0.42077,0.08911,0.21269
K2-32 c,0.47857,1.0828,1.2162,0.96955,0.13342,0.11323
GPX-1 b,1.2169,3.7967,2.5766,4.6162,1.2201,0.81955
K2-31 b,1.0749,2.7511,2.6759,1.982,0.075295,0.76919
K2-30 b,1.0785,2.2723,2.6824,1.9882,0.41011,0.28412
K2-66 b,0.3962,1.3284,1.1204,0.82971,0.20799,0.49867
K2-29 b,1.1251,2.3655,2.6431,2.0673,0.27756,0.29826
K2-27 b,0.64836,1.4639,1.4112,1.2578,0.052698,0.20607
K2-18 b,0.41664,0.93601,1.1327,0.86442,0.19666,0.071596
K2-19 b,0.8451,1.5105,1.6487,1.5918,0.13818,0.081302
K2-19 c,0.65418,1.2014,1.4142,1.2677,0.21277,0.066305
K2-19 d,0.045323,1.0,0.15005,0.15005,0.84995,0.84995
K2-25 b,0.53656,1.3892,1.304,1.068,0.085186,0.32116
K2-24 c,0.89321,1.415,1.7665,1.6735,0.3515,0.25855
K2-24 b,0.75435,1.3222,1.4919,1.4378,0.16966,0.11555
K2-32 b,0.71012,1.2175,1.4457,1.3627,0.22822,0.14519
K2-79 b,0.61172,0.96379,1.3866,1.1956,0.42278,0.23184
K2-38 c,0.38382,0.99564,1.1172,0.80868,0.12158,0.18695
K2-98 b,0.7047,1.5316,1.4414,1.3535,0.090159,0.17809
K2-99 b,1.1602,2.489,2.5782,4.5518,0.089216,2.0629
K2-97 b,1.1668,2.5436,2.5722,4.5594,0.028651,2.0158
K2-12 b,0.38739,0.716,1.1183,0.81475,0.40227,0.09875
KPS-1 b,1.0624,2.5396,2.6431,1.9608,0.10348,0.57883
K2-10 b,0.58433,1.4314,1.3615,1.1491,0.069902,0.28224
K2-138 g,0.479,0.63548,1.2169,0.97029,0.58137,0.3348
K2-139 b,0.95698,2.0899,2.0255,1.7818,0.064444,0.30811
K2-140 b,1.1324,2.4707,2.625,2.0795,0.15435,0.39113
K2-141 b,0.17898,0.70586,0.62909,0.46091,0.076771,0.24495
K2-141 c,0.8451,0.90309,1.6487,1.5918,0.74563,0.68876
K2-146 c,0.34044,0.87448,1.0682,0.73505,0.1937,0.13943
K2-157 b,-0.029188,0.056905,-0.11702,-0.11702,0.17392,0.17392
WASP-7 b,1.1876,2.4934,2.5669,4.5829,0.073449,2.0895
K2-167 b,0.36173,0.81291,1.1006,0.77118,0.28768,0.041729
K2-180 b,0.39199,1.0573,1.1192,0.82256,0.061899,0.23473
WASP-6 b,1.1359,2.2012,2.617,2.0856,0.41584,0.11555
K2-182 b,0.42975,1.301,1.1462,0.88668,0.15484,0.41435
HATS-9 b,1.0769,2.4176,2.6797,1.9854,0.26209,0.43217
HATS-8 b,0.99058,1.6421,2.2229,1.8388,0.58078,0.19677
HATS-7 b,0.80008,1.5814,1.5605,1.5154,0.020909,0.065968
K2-199 b,0.23805,0.83885,0.84081,0.5612,0.0019613,0.27765
HATS-6 b,1.0487,2.006,2.5895,1.9375,0.58349,0.068469
HATS-5 b,1.0096,1.8788,2.3529,1.8711,0.47417,0.0076993
HATS-4 b,1.0582,2.6191,2.6283,1.9536,0.0091564,0.66554
K2-199 c,0.45484,1.0934,1.1811,0.92928,0.087707,0.16414
K2-216 b,0.24304,0.90309,0.8587,0.56967,0.044387,0.33342
K2-222 b,0.37107,0.93952,1.1097,0.78704,0.17022,0.15248
WASP-8 b,1.0658,2.8532,2.6535,1.9665,0.19968,0.8867
K2-138 f,0.463,0.21219,1.193,0.94312,0.98086,0.73093
K2-138 c,0.36154,0.80003,1.1004,0.77086,0.30035,0.029165
K2-138 d,0.3784,0.89873,1.1147,0.79949,0.21601,0.099238
K2-131 b,0.21775,0.79934,0.76805,0.52674,0.031287,0.27261
K2-132 b,1.1635,2.1924,2.5749,4.5556,0.38255,2.3632
K2-136 b,0.006038,0.63347,0.00924,0.00924,0.62423,0.62423
K2-136 c,0.47712,1.2577,1.214,0.9671,0.043643,0.29058
K2-115 b,1.0968,2.4265,2.6941,2.0193,0.26763,0.40722
K2-229 b,0.078094,0.3962,0.26751,0.26751,0.12869,0.12869
K2-114 b,1.0236,2.7694,2.4516,1.8949,0.31774,0.87443
