pl_name,pl_bmasse,pl_rade,pl_pubdate,pl_controv_flag,pl_bmasseerr1,pl_bmasseerr2,pl_radeerr1,pl_radeerr2,soltype,disc_refname,pl_refname
GJ 1214 b,8.17,2.742,2021-11,0,0.43,-0.43,0.05,-0.053,Published Confirmed,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..174C/abstract target=ref>Cloutier et al. 2021</a>
Qatar-10 b,233.92288,17.295487,2019-06,0,28.6047,-28.6047,0.44836,-0.44836,Published Confirmed,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>
WASP-106 b,606.73747,12.161765,2017-06,0,25.10857,-25.10857,0.515614,-0.313852,Published Confirmed,<a refstr=SMITH_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A..64S/abstract target=ref>Smith et al. 2014</a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-20 b,98.841,16.388,2015-03,0,5.403,-5.403,0.661,-0.661,Published Confirmed,<a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..61A/abstract target=ref>Anderson et al. 2015</a>,<a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..61A/abstract target=ref>Anderson et al. 2015</a>
TOI-1820 b,731.0053361,12.778238,2022-04,0,63.5656814,-63.5656814,0.22417961,-0.22417961,Published Confirmed,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>
TIC 139270665 b,147.15455244,7.22979255,2024-04,0,14.62010672,-14.62010672,0.26901554,-0.24659758,Published Confirmed,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>
TrES-2 b,381.1,14.258,2009-05,0,16.527,-16.527,0.46,-0.46,Published Confirmed,<a refstr=O_DONOVAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651L..61O/abstract target=ref> O'Donovan et al. 2006 </a>,<a refstr=DAEMGEN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...498..567D/abstract target=ref> Daemgen et al. 2009 </a>
WASP-2 b,295.89973,12.116929,2019-11,0,19.0698,-18.43414,0.459569,-0.44836,Published Confirmed,<a refstr=COLLIER_CAMERON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007MNRAS.375..951C/abstract target=ref> Collier Cameron et al. 2007 </a>,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>
K2-237 b,434.15360396,16.06246934,2023-04,0,34.96112477,-29.24021344,0.62770292,-0.54924005,Published Confirmed,<a refstr=SOTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.5356S/abstract target=ref>Soto et al. 2018</a>,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>
TOI-3714 b,218.98377242,11.14172682,2023-10,0,9.53485221,-9.53485221,0.22417961,-0.22417961,Published Confirmed,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,<a refstr=HARTMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..163H/abstract target=ref>Hartman et al. 2023</a>
CoRoT-2 b,1051.973,16.42116,2008-05,0,50.851,-50.851,0.32506,-0.32506,Published Confirmed,<a refstr=ALONSO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..21A/abstract target=ref> Alonso et al. 2008 </a>,<a refstr=ALONSO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..21A/abstract target=ref> Alonso et al. 2008 </a>
WASP-107 b,38.1396,10.53646,2017-08,0,3.1783,-3.1783,0.22418,-0.22418,Published Confirmed,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>
WASP-6 b,153.51189,13.719816,2017-06,0,8.26358,-9.5349,0.571659,-0.582868,Published Confirmed,<a refstr=TREGLOAN_REED_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.1760T/abstract target=ref>Tregloan-Reed et al. 2015</a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-187 b,254.264,18.38276,2020-09,0,28.6047,-28.6047,0.56045,-0.56045,Published Confirmed,<a refstr=SCHANCHE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..428S/abstract target=ref>Schanche et al. 2020</a>,<a refstr=SCHANCHE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..428S/abstract target=ref>Schanche et al. 2020</a>
HD 189733 b,356.92309,12.755842,2017-06,0,14.30235,-14.30235,0.302643,-0.302643,Published Confirmed,<a refstr=BOUCHY_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...444L..15B/abstract target=ref> Bouchy et al. 2005 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
CoRoT-6 b,937.5985,13.069694,2017-06,0,88.9924,-88.9924,0.392315,-0.392315,Published Confirmed,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-61 b,654.7298,13.56289,2017-01,0,50.8528,-50.8528,0.33627,-0.33627,Published Confirmed,<a refstr=HELLIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426..739H/abstract target=ref> Hellier et al. 2012 </a>,<a refstr=BROWN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..810B/abstract target=ref>Brown et al. 2017</a>
WASP-46 b,607.0553,13.159366,2016-02,0,41.3179,-41.3179,0.414733,-0.414733,Published Confirmed,<a refstr=ANDERSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1105.3179A/abstract target=ref> Anderson et al. 2011 </a>,<a refstr=CICERI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.456..990C/abstract target=ref>Ciceri et al. 2016</a>
HD 191939 b,10.0,3.41,2022-11,0,0.7,-0.7,0.075,-0.075,Published Confirmed,<a refstr=BADENAS_AGUSTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..113B/abstract target=ref>Badenas-Agusti et al. 2020</a>,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>
TOI-4914 b,227.0,12.87,2024-09,0,13.0,-13.0,0.36,-0.36,Published Confirmed,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>
TOI-1898 b,129.0,9.39553231,2024-06,0,7.0,-8.0,0.2342915,-0.30913881,Published Confirmed,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>
HATS-54 b,239.32479047,11.37711541,2022-11,0,18.1162192,-18.1162192,0.26901554,-0.26901554,Published Confirmed,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,<a refstr=JACKSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221101044J/abstract target=ref>Jackson et al. 2022</a>
WASP-91 b,425.8922,11.54527,2017-08,0,25.4264,-25.4264,0.44836,-0.44836,Published Confirmed,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>
WASP-89 b,1875.197,11.65736,2015-07,0,127.132,-127.132,0.44836,-0.44836,Published Confirmed,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>,<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>
Qatar-7 b,597.5204,19.0553,2019-02,0,79.4575,-79.4575,0.33627,-0.33627,Published Confirmed,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...74A/abstract target=ref>Alsubai et al. 2019</a>,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...74A/abstract target=ref>Alsubai et al. 2019</a>
HAT-P-60 b,182.43350562,18.28184752,2021-07,0,12.07747947,-12.07747947,0.26901554,-0.26901554,Published Confirmed,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>
HAT-P-4 b,216.12,14.93,2011-01,0,12.71,-12.71,0.583,-0.583,Published Confirmed,<a refstr=KOVACS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670L..41K/abstract target=ref> Kovacs et al. 2007 </a>,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>
TrES-3 b,615.95454,14.706208,2008-04,0,19.70546,-20.02329,0.369897,-0.459569,Published Confirmed,<a refstr=O_DONOVAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...663L..37O/abstract target=ref> O'Donovan et al. 2007 </a>,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>
L 98-59 c,2.42,1.35,2019-09,0,0.35,-0.34,0.07,-0.07,Published Confirmed,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>
TOI-150.01,797.7533,14.067295,2019-11,0,38.1396,-38.1396,0.235389,-0.212971,Published Confirmed,<a refstr=CA_NTILDE_AS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...877L..29C/abstract target=ref>Ca&ntilde;as et al. 2019</a>,<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>
55 Cnc e,8.08,1.92,2016-01,0,0.31,-0.31,0.08,-0.08,Published Confirmed,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>
